Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Unemployment_rate,Inflation_rate,GDP,ActualStatus,PredictedStatus
4,39,1,9130,1,1,133.1,1,3,1,5,5,110.0,1,0,0,1,0,1,30,0,6,7,0,0.0,6,16,1,10.0,11.1,0.6,2.02,Dropout,Dropout
1,17,1,9238,1,1,125.0,1,4,3,1,1,119.8,0,0,0,1,0,0,18,0,6,9,5,11.571428571428571,6,8,6,12.142857142857142,16.2,0.3,-0.92,Graduate,Graduate
1,17,1,9853,1,1,133.0,1,38,38,9,9,127.4,0,0,1,1,0,1,18,0,7,7,7,12.714285714285714,7,7,7,12.285714285714286,16.2,0.3,-0.92,Graduate,Graduate
1,17,2,9670,1,1,110.0,1,1,1,4,10,115.3,1,0,0,1,1,0,19,0,6,8,6,13.857142857142858,6,8,5,13.0,15.5,2.8,-4.06,Graduate,Enrolled
1,39,1,9500,1,1,130.0,1,37,19,9,8,106.2,1,0,0,1,0,0,27,0,7,14,0,0.0,7,14,0,0.0,11.1,0.6,2.02,Dropout,Dropout
1,39,1,8014,0,15,170.0,1,34,1,90,2,101.0,0,0,0,1,0,0,32,0,6,9,4,12.0,6,12,4,11.5,7.6,2.6,0.32,Graduate,Graduate
1,1,1,9773,1,1,143.0,1,3,3,2,5,144.8,0,0,0,1,0,0,19,0,6,6,6,12.166666666666666,6,6,6,12.5,16.2,0.3,-0.92,Enrolled,Graduate
1,51,1,9119,1,1,136.0,1,1,19,3,5,133.6,1,0,0,1,1,0,20,0,9,12,9,13.454545454545457,7,9,6,13.875,11.1,0.6,2.02,Dropout,Graduate
1,17,5,9500,1,1,147.0,1,19,1,4,3,138.5,1,0,0,1,0,0,19,0,8,8,8,14.34125,8,8,8,14.34125,9.4,-0.8,-3.12,Graduate,Graduate
1,1,1,9500,1,1,118.0,1,19,19,5,7,117.8,0,0,0,1,0,1,19,0,7,7,7,13.7,8,9,7,14.671428571428574,12.4,0.5,1.79,Graduate,Graduate
1,1,3,9500,1,1,134.0,1,1,37,8,7,120.5,1,0,0,1,1,1,18,0,7,12,7,11.716666666666663,8,13,4,10.868,15.5,2.8,-4.06,Graduate,Enrolled
1,1,2,9500,1,1,140.0,1,38,38,9,7,138.8,1,0,0,1,0,0,19,0,7,7,6,12.766666666666666,7,7,6,12.766666666666666,7.6,2.6,0.32,Graduate,Graduate
1,7,1,9500,1,3,140.0,1,1,1,9,5,140.0,0,0,0,1,0,0,33,0,7,8,6,14.35,8,10,6,14.583333333333334,16.2,0.3,-0.92,Dropout,Graduate
1,1,2,9500,1,1,137.0,1,19,19,7,7,120.8,1,0,0,1,0,1,18,0,8,8,7,14.654285714285717,8,8,7,14.654285714285717,10.8,1.4,1.74,Graduate,Graduate
1,17,4,9254,1,1,124.0,1,1,1,4,4,122.3,1,0,0,1,0,0,19,0,6,7,6,11.666666666666666,6,6,6,12.333333333333334,13.9,-0.3,0.79,Dropout,Graduate
5,1,3,9085,1,1,133.0,1,19,19,4,7,119.7,1,0,0,1,0,0,21,0,5,13,5,12.2,5,10,3,11.333333333333334,9.4,-0.8,-3.12,Enrolled,Enrolled
1,1,1,9500,1,1,139.0,1,37,38,6,6,121.3,1,0,0,1,0,1,19,0,8,10,6,11.833333333333334,8,10,6,11.833333333333334,9.4,-0.8,-3.12,Enrolled,Graduate
1,1,1,171,1,1,156.0,1,3,3,2,2,147.7,1,0,0,1,0,0,21,0,12,12,12,15.333333333333334,11,15,11,15.0,8.9,1.4,3.51,Graduate,Graduate
1,17,1,9147,1,1,115.0,1,19,19,7,7,115.0,1,0,0,1,0,0,23,0,5,7,2,10.0,5,9,1,12.0,9.4,-0.8,-3.12,Enrolled,Dropout
1,1,2,9670,1,1,120.0,1,3,19,4,5,115.5,1,0,0,1,0,0,18,0,6,8,5,13.0,6,8,5,14.0,13.9,-0.3,0.79,Graduate,Graduate
1,1,1,9238,1,1,145.0,1,19,37,4,7,148.9,1,0,0,1,0,1,18,0,6,6,6,13.666666666666666,6,6,6,13.0,10.8,1.4,1.74,Graduate,Graduate
1,39,1,9238,1,19,133.1,1,37,37,9,9,139.0,0,0,1,0,1,0,33,0,6,8,0,0.0,5,6,0,0.0,16.2,0.3,-0.92,Dropout,Dropout
1,39,1,9085,1,19,133.1,1,37,37,9,9,100.0,1,0,1,0,0,1,26,0,6,7,0,0.0,6,6,0,0.0,13.9,-0.3,0.79,Dropout,Dropout
